Address,Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price
"Dự án Florence Mỹ Đình, Đường Trần Hữu Dực, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội.",99.4,4.0,,Đông - Bắc,Đông - Bắc,2.0,,2.0,Have certificate,Full,9.5
"Đường Mỗ Lao, Phường Văn Quán, Hà Đông, Hà Nội",33.0,,,Tây - Nam,,5.0,,,Have certificate,Basic,4.95
"Dự án Thanh Hà Mường Thanh, Phường Kiến Hưng, Hà Đông, Hà Nội",100.0,,,,,,,,,,7.5
"Đường Tố Hữu, Phường Yên Nghĩa, Hà Đông, Hà Nội",34.0,,2.0,,,4.0,3.0,,,Full,2.9
"Dự án Him Lam Thường Tín, Đường ĐT 427B, Thị trấn Thường Tín, Thường Tín, Hà Nội",87.0,5.0,33.0,Đông - Nam,Tây - Bắc,5.0,5.0,5.0,Have certificate,,10.0
"Phố Trung Kính, Phường Trung Hòa, Cầu Giấy, Hà Nội",35.0,5.0,2.0,,,5.0,5.0,4.0,Have certificate,Full,6.85
"Số 9 ngõ 197, Đường Lâm Du, Phường Bồ Đề, Long Biên, Hà Nội",56.0,3.82,2.5,Đông - Nam,,5.0,6.0,5.0,Have certificate,Full,6.5
"Đường Ái Mộ, Phường Bồ Đề, Long Biên, Hà Nội",27.0,4.0,10.0,,,5.0,4.0,5.0,Have certificate,Full,7.65
"Dự án Him Lam Thường Tín, Đường Trần Phú, Thị trấn Thường Tín, Thường Tín, Hà Nội",81.0,,18.5,,,5.0,,,,,9.9
"Phố Yên Duyên, Phường Yên Sở, Hoàng Mai, Hà Nội",33.0,3.0,2.0,Tây - Bắc,Tây - Bắc,5.0,3.0,4.0,Have certificate,Full,4.48
"Phố Khâm Thiên, Phường Thổ Quan, Đống Đa, Hà Nội",30.0,3.4,3.0,,,6.0,4.0,5.0,,Full,5.65
"Đường Đê Mới, Xã Phụng Châu, Chương Mỹ, Hà Nội",60.0,,3.0,,,4.0,4.0,3.0,Have certificate,Basic,2.65
"Phố Lò Đúc, Phường Đống Mác, Hai Bà Trưng, Hà Nội",36.0,4.0,3.0,,,5.0,4.0,4.0,Have certificate,Basic,6.0
"Xã Vĩnh Quỳnh, Thanh Trì, Hà Nội",78.0,,,,,3.0,3.0,3.0,Have certificate,Full,5.8
"Đường Ỷ La, Phường Dương Nội, Hà Đông, Hà Nội",35.0,,,,,5.0,4.0,3.0,Have certificate,,3.5
"Ngõ 387, Phố Vũ Tông Phan, Phường Khương Đình, Thanh Xuân, Hà Nội",42.0,3.3,5.0,Nam,,4.0,5.0,4.0,Have certificate,Full,8.8
"Phường Thạch Bàn, Long Biên, Hà Nội",33.0,4.5,2.5,Nam,Nam,5.0,3.0,4.0,Have certificate,Full,4.15
"Đường Tả Thanh Oai, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",31.0,,,,,5.0,,,Have certificate,,2.9
"Số 7H/15/351, Đường Âu Cơ, Phường Nhật Tân, Tây Hồ, Hà Nội",56.0,4.8,3.0,Đông - Nam,Đông - Nam,6.0,4.0,4.0,Have certificate,,5.3
"Ngõ 18, Đường Ngô Quyền, Phường Quang Trung, Hà Đông, Hà Nội",55.0,4.0,5.0,,,5.0,6.0,5.0,Have certificate,Full,8.3
"Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",60.0,,,,,,,,Have certificate,,4.3
"Dự án Thanh Hà Mường Thanh, Phường Kiến Hưng, Hà Đông, Hà Nội",33.0,,,,,,1.0,1.0,Sale contract,,1.4
"Xã Vĩnh Quỳnh, Thanh Trì, Hà Nội",60.0,,2.0,,,3.0,3.0,3.0,Have certificate,,4.7
"Đường Cổ Linh, Phường Thạch Bàn, Long Biên, Hà Nội",70.0,,,,,5.0,5.0,4.0,,,6.9
"Số 3/83 ngõ 61, Đường Phố Trạm, Phường Long Biên, Long Biên, Hà Nội",40.0,,,Đông - Nam,,5.0,6.0,3.0,,,6.25
"89, Đường Lạc Long Quân, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",35.0,,,,,4.0,4.0,3.0,Have certificate,Full,6.25
"Phường Thạch Bàn, Long Biên, Hà Nội",70.0,,,,,,,,Have certificate,Basic,6.8
"Đường Phố Trạm, Phường Thạch Bàn, Long Biên, Hà Nội",48.0,,2.5,,,4.0,5.0,,Have certificate,Basic,6.4
"Đường Trương Định, Phường Tương Mai, Hoàng Mai, Hà Nội",40.0,,,,,5.0,,,,,7.48
"Xã Đông La, Hoài Đức, Hà Nội",36.5,3.6,4.0,,,6.0,3.0,4.0,Have certificate,Basic,4.1
"Phường Thạch Bàn, Long Biên, Hà Nội",36.0,,,,,4.0,,,Have certificate,,7.49
"Số 43A ngõ 88, Phố Kim Hoa, Phường Phương Liên, Đống Đa, Hà Nội",12.0,3.0,3.0,Đông - Bắc,Đông - Bắc,5.0,3.0,4.0,,,1.8
"Phố Cầu Cốc, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",53.0,4.3,22.0,Đông,Đông,5.0,6.0,5.0,Have certificate,Basic,6.39
"Đường Nguyễn Trãi, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",56.0,3.85,2.8,,,4.0,4.0,5.0,Have certificate,Full,8.5
"Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",116.8,,,,,,3.0,2.0,Have certificate,,7.3
"Đường Cầu Giấy, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",70.0,6.6,,,,,,,,,9.6
"Five Star Kim Giang, Đường Kim Giang, Phường Kim Giang, Thanh Xuân, Hà Nội",55.0,5.0,3.0,,,5.0,4.0,5.0,Have certificate,Full,6.8
"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",37.0,4.0,,,,6.0,3.0,3.0,Have certificate,Full,5.6
"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",45.0,3.5,2.0,Đông - Nam,Đông - Bắc,4.0,4.0,3.0,Have certificate,Basic,4.95
"Đường Cổ Linh, Phường Thạch Bàn, Long Biên, Hà Nội",30.0,6.0,2.0,Đông,Đông,6.0,3.0,4.0,Have certificate,Basic,4.6
"Phường Bồ Đề, Quận Long Biên, Hà Nội",45.0,,,,,5.0,3.0,4.0,Have certificate,Full,5.7
"Đường Mai Hiên, Xã Mai Lâm, Đông Anh, Hà Nội",46.5,5.0,,,,3.0,3.0,,,,2.8
"Phố Đại La, Phường Đồng Tâm, Hai Bà Trưng, Hà Nội",32.0,,,,,5.0,3.0,4.0,Have certificate,Full,5.7
"Phố Tôn Đức Thắng, Phường Hàng Bột, Đống Đa, Hà Nội",42.0,5.6,3.0,Đông,Đông,5.0,3.0,4.0,Have certificate,Basic,8.5
"Đường Ngọc Trục, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",33.0,3.3,3.5,,,4.0,4.0,4.0,Have certificate,,5.4
"Phố Trần Cung, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",40.0,4.25,3.0,Tây - Nam,Tây - Nam,5.0,4.0,4.0,Have certificate,Full,6.3
"Ngõ 271, Đường Bùi Xương Trạch, Phường Khương Đình, Thanh Xuân, Hà Nội",91.0,5.0,,,,,,,Sale contract,,3.5
"Đường Lạc Thị, Xã Ngọc Hồi, Thanh Trì, Hà Nội",45.0,4.0,5.0,Đông - Nam,,5.0,,,,,4.5
"Phường Yên Nghĩa, Hà Đông, Hà Nội",34.0,,,,,4.0,3.0,4.0,Have certificate,Full,2.95
"Xã Phụng Châu, Chương Mỹ, Hà Nội",34.0,4.25,3.0,Bắc,Bắc,3.0,3.0,3.0,Have certificate,Basic,2.1
"Phố Tôn Đức Thắng, Phường Văn Chương, Đống Đa, Hà Nội",20.0,3.6,15.0,Đông - Nam,Đông - Nam,4.0,3.0,,Have certificate,Basic,3.6
"Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội",35.0,,,,,3.0,,,Have certificate,,5.65
"Tổ 9, Đường Mậu Lương, Phường Kiến Hưng, Hà Đông, Hà Nội",34.0,8.1,,,,5.0,4.0,4.0,Have certificate,,8.0
"Xã Đông La, Hoài Đức, Hà Nội",40.0,3.7,4.0,Đông - Nam,Đông - Nam,6.0,4.0,4.0,Have certificate,Basic,3.25
"Đường Thịnh Quang, Phường Thịnh Quang, Đống Đa, Hà Nội",55.0,,,,,6.0,8.0,6.0,Have certificate,Full,7.6
"Xã Đông La, Huyện Hoài Đức, Hà Nội",40.0,,,,,4.0,4.0,4.0,Have certificate,Basic,2.5
"Đường Tỉnh Lộ 422B, Xã Vân Canh, Hoài Đức, Hà Nội",30.0,3.4,4.0,Tây - Nam,Tây - Nam,5.0,3.0,4.0,Have certificate,Full,4.1
"Xã Phụng Châu, Huyện Chương Mỹ, Hà Nội",40.0,,,,,4.0,4.0,4.0,Have certificate,Basic,1.95
"Phường Thổ Quan, Đống Đa, Hà Nội",27.0,4.6,,,,6.0,,,,,7.5
"Đường Ngô Thì Sỹ, Phường Vạn Phúc, Hà Đông, Hà Nội",30.6,3.0,,,,,,,Have certificate,Full,6.5
"Xã Đại Thành, Quốc Oai, Hà Nội",45.0,4.3,5.0,Nam,Nam,3.0,3.0,3.0,Have certificate,Full,2.65
"Đường Quang Trung, Phường Quang Trung, Hà Đông, Hà Nội",24.3,2.38,,,,,,,Have certificate,,7.2
"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",31.0,3.6,3.0,Tây - Bắc,Tây - Bắc,5.0,4.0,3.0,Have certificate,Basic,4.55
"Phố Mai Dịch, Phường Mai Dịch, Cầu Giấy, Hà Nội",38.1,8.0,,,,,,,Have certificate,,5.5
"Đường Cầu Tó, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",35.0,,,,,5.0,,,Have certificate,,2.85
"Phường Phúc Đồng, Long Biên, Hà Nội",45.0,,,,,5.0,4.0,,,Full,4.45
"Xã Kim Nỗ, Đông Anh, Hà Nội",67.0,,3.0,Đông,Đông,3.0,3.0,3.0,Have certificate,Full,4.5
"Phường Thạch Bàn, Long Biên, Hà Nội",60.0,,,,,4.0,4.0,,Have certificate,Basic,4.5
"Phường Phú Lương, Hà Đông, Hà Nội",38.0,,3.0,Tây - Bắc,,4.0,5.0,4.0,,Full,4.35
"Phường Yên Nghĩa, Hà Đông, Hà Nội",41.0,,,,,4.0,5.0,3.0,Have certificate,,3.6
"Ngõ 298, Đường Ngọc Hồi, Xã Tam Hiệp, Thanh Trì, Hà Nội",35.0,4.0,5.0,Đông,Đông,4.0,4.0,3.0,Have certificate,Basic,6.5
"Phường Biên Giang, Hà Đông, Hà Nội",35.0,,,,,4.0,3.0,3.0,Have certificate,Basic,2.5
"Phường Quan Hoa, Cầu Giấy, Hà Nội",43.0,3.6,4.0,,,4.0,2.0,3.0,Have certificate,Basic,8.65
"Đường Trần Phú, Phường Mỗ Lao, Hà Đông, Hà Nội",39.0,4.6,,,,4.0,3.0,,Have certificate,,10.0
"Phố Thái Thịnh, Phường Thịnh Quang, Đống Đa, Hà Nội",24.0,4.0,3.0,,,4.0,2.0,3.0,Have certificate,Full,4.28
"95 Cầu Giấy, Đường Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",40.0,4.0,,,,,,,Have certificate,Basic,7.0
"Xã Mai Lâm, Đông Anh, Hà Nội",52.0,5.0,,,,4.0,3.0,,,,4.2
"Chúc Sơn, Chương Mỹ, Hà Nội",31.0,,,,,3.0,3.0,3.0,Have certificate,Full,2.48
"Ngõ 121.48, Đường Kim Ngưu, Phường Thanh Lương, Hai Bà Trưng, Hà Nội",56.0,6.0,,,,4.0,4.0,4.0,Have certificate,Full,7.15
"Ngõ 291, Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội",30.0,3.25,,,,5.0,3.0,4.0,Have certificate,,4.25
"Phố Tôn Đức Thắng, Phường Hàng Bột, Đống Đa, Hà Nội",32.0,,,,,5.0,3.0,,Have certificate,Full,5.5
"Đường Thanh Lân, Phường Thanh Trì, Hoàng Mai, Hà Nội",30.0,3.8,2.0,Tây,Tây,5.0,3.0,3.0,Have certificate,,4.6
"Đường Ái Mộ, Phường Bồ Đề, Long Biên, Hà Nội",37.0,,,,,5.0,3.0,4.0,Have certificate,Full,7.3
"Đường Trương Định, Phường Minh Khai, Hai Bà Trưng, Hà Nội",39.0,4.5,50.0,,,6.0,3.0,4.0,Have certificate,Basic,7.5
"Đường Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",40.0,3.4,,,,4.0,4.0,5.0,,,8.15
"Dự án Long Việt Riverside, Đường Võ Văn Kiệt, Thị trấn Quang Minh, Mê Linh, Hà Nội",70.0,5.0,11.5,,,4.0,,,,,5.6
"Phố Đồng Nhân, Xã Đông La, Hoài Đức, Hà Nội",36.0,4.0,5.0,Đông - Bắc,Tây - Nam,3.0,3.0,3.0,Have certificate,Full,3.0
"Đường Đê La Thành, Phường Ngọc Khánh, Ba Đình, Hà Nội",32.0,,12.0,,,5.0,5.0,5.0,Have certificate,Basic,9.5
"đường Võng Thị, Phường Thụy Khuê, Tây Hồ, Hà Nội",33.0,3.3,2.0,Đông - Nam,,5.0,3.0,3.0,Have certificate,Full,7.5
"Đường Quang Trung, Phường Yên Nghĩa, Hà Đông, Hà Nội",33.0,4.5,2.5,,,5.0,3.0,4.0,Have certificate,,3.65
"Số 5 ngõ 7, Đường Hoàng Liên, Phường Liên Mạc, Bắc Từ Liêm, Hà Nội",41.5,6.0,,,,5.0,,,,,4.9
"Phường Phúc Xá, Ba Đình, Hà Nội",40.0,,,,,4.0,4.0,,Have certificate,Basic,8.5
"Đường Dương Văn Bé, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",45.0,,3.0,,,4.0,5.0,4.0,Have certificate,Basic,6.0
"Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",40.0,4.4,,,,4.0,3.0,3.0,Have certificate,Basic,9.9
"Đường Quang Tiến, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",33.0,4.0,4.0,Nam,Nam,5.0,4.0,4.0,Have certificate,Full,5.0
"Đường Đào Tấn, Phường Ngọc Khánh, Ba Đình, Hà Nội",34.0,5.0,2.0,,,5.0,3.0,4.0,Have certificate,,5.95
"Ngõ 124, Đường Do Nha, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",45.0,3.5,7.0,Đông - Nam,Đông - Nam,4.0,5.0,4.0,,Full,4.5
"Phường Khương Đình, Thanh Xuân, Hà Nội",37.0,,,,,3.0,2.0,,Have certificate,,5.5
"Đường An Dương, Phường Yên Phụ, Tây Hồ, Hà Nội",35.0,3.5,,,,5.0,,,Have certificate,,5.1
"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",58.0,,,,,4.0,2.0,3.0,Have certificate,Basic,5.6
"Đường Kiêu Kỵ, Xã Kiêu Kỵ, Gia Lâm, Hà Nội",45.0,4.0,5.0,,,2.0,,,Have certificate,,3.5
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",45.0,6.2,4.0,,,5.0,5.0,5.0,Have certificate,Full,7.68
"Đường Thượng Thanh, Phường Thượng Thanh, Long Biên, Hà Nội",55.0,,3.5,,,4.0,5.0,4.0,Have certificate,Full,5.5
"Phường Kiến Hưng, Hà Đông, Hà Nội",35.0,,,,,5.0,3.0,,Have certificate,,4.7
"Đường Quốc lộ 21B, Phường Phú Lãm, Hà Đông, Hà Nội",35.0,,,,,4.0,4.0,3.0,Have certificate,Full,3.3
"Phố Hạ Đình, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",30.0,,,,,5.0,3.0,,Have certificate,Full,3.88
"Đường Quang Tiến, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",36.0,,5.0,,,5.0,4.0,4.0,Have certificate,Basic,5.65
"Phố Cự Lộc, Phường Nhân Chính, Thanh Xuân, Hà Nội",38.0,,,,,6.0,4.0,3.0,Have certificate,Basic,6.25
"Ngõ 165, Phố Chùa Bộc, Phường Quang Trung, Đống Đa, Hà Nội",37.0,,3.0,,,5.0,4.0,4.0,Have certificate,Full,6.5
"Đường Ái Mộ, Phường Bồ Đề, Long Biên, Hà Nội",41.0,,2.8,,,5.0,3.0,4.0,Have certificate,Full,5.7
"Đường Ngọc Hà, Phường Ngọc Hà, Ba Đình, Hà Nội",80.0,5.0,2.0,Đông,Đông,5.0,5.0,6.0,Have certificate,,9.5
"Ngõ 374, Đường Âu Cơ, Phường Nhật Tân, Tây Hồ, Hà Nội",98.0,6.0,5.0,Đông - Nam,,2.0,3.0,2.0,,,9.6
"Đường Phúc La, Phường Phúc La, Hà Đông, Hà Nội",40.0,4.2,,,,5.0,6.0,4.0,Have certificate,Full,4.7
"Đường Quốc lộ 6, Xã Phụng Châu, Chương Mỹ, Hà Nội",35.0,4.0,4.0,Đông - Bắc,Đông - Bắc,3.0,4.0,3.0,Have certificate,Full,2.4
"Đường Mậu Lương, Phường Kiến Hưng, Hà Đông, Hà Nội",41.0,,,,,4.0,4.0,3.0,Have certificate,,5.15
"Đường Ngọc Hồi, Xã Ngọc Hồi, Thanh Trì, Hà Nội",80.0,8.0,,,,4.0,4.0,3.0,Have certificate,Full,4.8
"Đường Trương Công Giai, Phường Dịch Vọng, Cầu Giấy, Hà Nội",50.0,,,,,5.0,,,Have certificate,Full,8.7
"Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",70.0,7.0,2.5,Tây - Bắc,Tây - Nam,4.0,4.0,4.0,Have certificate,Full,9.8
"Đường Trương Định, Phường Trương Định, Hai Bà Trưng, Hà Nội",37.0,4.6,3.5,Bắc,Bắc,6.0,4.0,3.0,Have certificate,Full,7.5
"Tả Thanh Oai, Thanh Trì, Hà Nội",30.0,3.5,3.0,Tây - Nam,Tây - Nam,5.0,3.0,4.0,Have certificate,Basic,3.2
"Phố Vũ Tông Phan, Phường Khương Đình, Thanh Xuân, Hà Nội",37.0,3.8,3.0,,,6.0,3.0,4.0,Have certificate,Full,8.0
"Phường Đội Cấn, Ba Đình, Hà Nội",31.0,5.1,,,,3.0,4.0,3.0,Have certificate,,5.6
"Phường Kiến Hưng, Quận Hà Đông, Hà Nội",36.0,4.5,20.0,Đông,Đông,4.0,3.0,4.0,Have certificate,Basic,4.0
"Phường La Khê, Hà Đông, Hà Nội",47.0,3.5,,,,4.0,3.0,3.0,,,6.45
"Đường Triều Khúc, Phường Thanh Xuân Nam, Thanh Xuân, Hà Nội",36.0,,,,,5.0,3.0,3.0,Have certificate,,6.05
"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",38.0,,,,,5.0,,,Have certificate,Full,4.5
"Đường Cổ Nhuế, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",63.0,4.7,3.0,Nam,Nam,4.0,4.0,3.0,Have certificate,Basic,8.6
"Đường Trường Chinh, Phường Khương Thượng, Đống Đa, Hà Nội",32.0,,,,,6.0,3.0,,,,6.5
"Đường Đê La Thành, Phường Kim Mã, Ba Đình, Hà Nội",31.0,,,,,5.0,3.0,4.0,Have certificate,,9.5
"Tổ 7, Đường Nhân Trạch, Phường Phú Lương, Hà Đông, Hà Nội",32.0,3.0,2.3,,,5.0,5.0,3.0,Have certificate,,3.7
"Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Long Biên, Hà Nội",55.0,,,,,5.0,4.0,4.0,Have certificate,Full,9.29
"Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Cầu Giấy, Hà Nội",41.0,4.5,,,,5.0,,,Have certificate,Full,6.6
"Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội",35.0,,,,,5.0,2.0,2.0,,,6.85
"Đường La Tinh, Xã Đông La, Hoài Đức, Hà Nội",30.5,4.0,3.0,Tây - Nam,Tây - Nam,4.0,3.0,3.0,Have certificate,Full,2.65
"Đường Giao Quang, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",74.0,,,,,5.0,7.0,,Have certificate,,5.5
"Đường Lý Sơn, Phường Thượng Thanh, Long Biên, Hà Nội",32.0,3.5,3.0,Đông - Nam,Đông - Nam,4.0,3.0,3.0,Have certificate,Full,3.95
"Đường Hồ Tùng Mậu, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",52.0,4.6,6.0,,,4.0,4.0,4.0,Have certificate,,8.6
"Đường Thượng Phúc, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",36.0,4.0,3.0,,,5.0,4.0,4.0,Have certificate,Full,2.8
"Đường Phúc Lợi, Phường Phúc Lợi, Long Biên, Hà Nội",50.0,5.0,2.0,Tây - Bắc,Tây - Bắc,6.0,4.0,5.0,Have certificate,Basic,6.5
"đường Võng Thị, Phường Bưởi, Tây Hồ, Hà Nội",70.0,4.5,2.5,Tây - Bắc,Tây - Bắc,5.0,5.0,5.0,Have certificate,Basic,10.0
"Phố Lê Thanh Nghị, Phường Đồng Tâm, Hai Bà Trưng, Hà Nội",50.0,,,,,6.0,4.0,5.0,Have certificate,Full,7.55
"Phố Việt Hưng, Phường Đức Giang, Long Biên, Hà Nội",35.0,,,,,6.0,4.0,5.0,Have certificate,Full,7.8
"Đường Hữu Hòa, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",34.0,,,,,5.0,4.0,,Have certificate,,4.3
"Phường Phú Lãm, Hà Đông, Hà Nội",34.0,,,,,5.0,3.0,4.0,Have certificate,Full,3.3
"Đường La Phù, Xã La Phù, Hoài Đức, Hà Nội",36.0,4.0,3.5,Đông - Nam,Đông - Nam,5.0,3.0,4.0,Have certificate,,4.55
"Đường 21B, Phường Phú Lãm, Hà Đông, Hà Nội",35.0,,3.0,,,4.0,4.0,3.0,Have certificate,Full,3.4
"Thị trấn Chúc Sơn, Chương Mỹ, Hà Nội",37.0,5.0,8.0,,,4.0,3.0,3.0,Have certificate,,3.4
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",56.0,5.2,,Đông - Bắc,,4.0,2.0,3.0,Have certificate,Full,6.1
"Đường Tân Triều Mới, Xã Tân Triều, Thanh Trì, Hà Nội",38.0,,,,,4.0,3.0,3.0,Have certificate,Full,7.3
"Ngõ 68, Đường Nguyễn Văn Linh, Phường Thạch Bàn, Long Biên, Hà Nội",32.0,3.0,,Bắc,,5.0,3.0,4.0,,,4.25
"Đường Ngô Thì Sỹ, Phường Vạn Phúc, Hà Đông, Hà Nội",61.0,4.5,3.0,,,4.0,4.0,3.0,Have certificate,Full,8.95
"Đường Phố Lụa, Phường Vạn Phúc, Hà Đông, Hà Nội",30.0,4.2,3.0,,,5.0,3.0,3.0,Have certificate,Full,6.4
"Đường Quang Tiến, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",53.0,3.5,7.0,Tây - Bắc,Tây - Bắc,5.0,8.0,5.0,Have certificate,Full,8.8
"Đường Kim Ngưu, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",55.0,5.0,4.0,,,2.0,1.0,1.0,Have certificate,,7.5
"Đường Đặng Phúc Thông, Xã Yên Thường, Gia Lâm, Hà Nội",100.0,3.5,24.0,,,3.0,3.0,2.0,Have certificate,Basic,8.2
"Phố Vĩnh Ninh, Xã Vĩnh Quỳnh, Thanh Trì, Hà Nội",45.0,3.8,3.3,Tây - Bắc,Tây - Bắc,4.0,5.0,3.0,,,3.99
"Ngõ 86 Tổ 13, Đường Mậu Lương, Phường Kiến Hưng, Hà Đông, Hà Nội",30.3,4.6,,,,3.0,2.0,2.0,Have certificate,Full,3.2
"Dự án Vinhomes Smart City , Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",50.0,6.0,13.0,,,,,,Have certificate,,6.9
"Đường Liên Cơ, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội",35.0,3.7,3.0,Đông - Bắc,Đông - Bắc,7.0,4.0,5.0,Have certificate,Full,9.0
"Đường Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội",30.0,,,Bắc,,4.0,2.0,3.0,Have certificate,,3.7
"Phố Xã Đàn, Phường Kim Liên, Đống Đa, Hà Nội",45.0,4.0,4.0,,,4.0,4.0,4.0,Have certificate,Full,7.0
"Đường Tựu Liệt, Xã Tam Hiệp, Thanh Trì, Hà Nội",83.0,5.4,,,,3.0,,,Have certificate,Basic,9.5
"Xã Mỹ Hưng, Thanh Oai, Hà Nội",93.0,,3.0,Nam,,3.0,4.0,2.0,Have certificate,Basic,4.26
"Phố Kim Mã, Phường Kim Mã, Ba Đình, Hà Nội",36.0,,,,,5.0,,,Have certificate,Basic,6.5
"Xã Phụng Châu, Chương Mỹ, Hà Nội",35.0,,,,,3.0,3.0,4.0,Have certificate,Basic,1.92
"Phố Lý Quốc Sư, Phường Hàng Trống, Hoàn Kiếm, Hà Nội",13.5,,,Tây,,5.0,3.0,3.0,,Basic,5.4
